Year,Precollege,Intro Level,Intro Stats,Calculus Level,Advanced Level,Advanced Stats
1985,251,593,144,637,138,63
1990,261,592,117,647,119,52
1995,222,613,164,538,96,44
2000,219,723,190,570,102,45
2005,201,706,202,587,112,57
2010,209,863,312,748,150,60
2015,253,1000,347,807,154,110
2021,101,670,252,659,121,88
